epoch,train_loss_all,val_loss_all,train_acc_all,val_acc_all
51,0.6892007923126221,0.680275981426239,0.89078125,0.890625
52,0.6837638354301453,0.6631956124305725,0.8878125,0.911875
53,0.6780656397342681,0.6635584616661072,0.8928125,0.9225
54,0.6766143488883972,0.6786355590820312,0.88390625,0.86125
55,0.666928893327713,0.6528953218460083,0.8940625,0.914375
56,0.6612547183036804,0.6406893134117126,0.8915625,0.91875
57,0.6550473642349243,0.6610477590560913,0.899375,0.866875
58,0.6488259172439576,0.6323469567298889,0.9028125,0.913125
59,0.6451510488986969,0.6337164378166199,0.90171875,0.89625
60,0.6391512012481689,0.6191853523254395,0.898125,0.9325
61,0.630190007686615,0.6132951045036316,0.90609375,0.9275
62,0.6290886211395263,0.6092549133300781,0.90421875,0.929375
63,0.6254546058177948,0.6024607384204864,0.9078125,0.94125
64,0.6143814671039581,0.6043341922760009,0.9146875,0.909375
65,0.6088376414775848,0.5906932258605957,0.91765625,0.929375
66,0.6056120467185974,0.582407009601593,0.9134375,0.935625
67,0.5995124006271362,0.5859842371940612,0.914375,0.92375
68,0.5937432587146759,0.5712391293048859,0.91984375,0.94625
69,0.5941991305351257,0.5684357869625092,0.91375,0.93625
70,0.586665334701538,0.576868269443512,0.9209375,0.921875
71,0.5852905333042144,0.5737020671367645,0.915625,0.90625
72,0.5745330601930618,0.5487233591079712,0.92015625,0.941875
73,0.5682261180877686,0.5458612430095673,0.92671875,0.950625
74,0.5606331413984299,0.5495787274837494,0.92828125,0.94
75,0.5576933187246322,0.5513886940479279,0.926875,0.92375
76,0.553367178440094,0.531165087223053,0.93046875,0.944375
77,0.5488619238138199,0.5226527333259583,0.93171875,0.95125
78,0.5426126682758331,0.55826052069664,0.9334375,0.899375
79,0.5420051848888398,0.5441153490543366,0.93328125,0.910625
80,0.534633201956749,0.5210692596435547,0.92953125,0.940625
81,0.5295779359340668,0.5111242461204529,0.9340625,0.94625
82,0.5253431117534637,0.5316522216796875,0.9359375,0.915
83,0.5205222606658936,0.49864950895309446,0.9396875,0.945625
84,0.5213879311084747,0.5280632925033569,0.9371875,0.90875
85,0.5141479390859603,0.49968945145606997,0.93390625,0.945625
86,0.5077963018417359,0.4971709632873535,0.94375,0.94
87,0.5080898863077163,0.48183508157730104,0.93625,0.95375
88,0.49908180713653566,0.4754796707630157,0.94421875,0.95625
89,0.49658349573612215,0.47161423921585083,0.9421875,0.956875
90,0.4911077964305878,0.4753212833404541,0.94453125,0.95625
91,0.4882191610336304,0.4672099411487579,0.94421875,0.955
92,0.4792298036813736,0.4593799519538879,0.94765625,0.959375
93,0.4848506087064743,0.4541903054714203,0.94390625,0.95875
94,0.47425828337669373,0.4464021146297455,0.945,0.9625
95,0.4741355496644974,0.44294878125190734,0.94640625,0.96125
96,0.4776277273893356,0.4567856764793396,0.94234375,0.950625
97,0.4621227318048477,0.4381239664554596,0.95,0.96
98,0.46002906262874604,0.4492627930641174,0.95015625,0.9475
99,0.4584518498182297,0.43337581515312196,0.94921875,0.95875
100,0.4546152925491333,0.44015914320945737,0.94890625,0.955
101,0.44664121747016905,0.43120561957359316,0.9525,0.954375
102,0.44570218861103056,0.4254792034626007,0.950625,0.963125
103,0.4428898471593857,0.45117528438568116,0.9525,0.93625
104,0.43822167098522186,0.4126049983501434,0.95265625,0.965625
105,0.4372513872385025,0.4109891092777252,0.953125,0.969375
106,0.4338990139961243,0.41441888093948365,0.95375,0.963125
107,0.42661676108837127,0.40139950513839723,0.95578125,0.968125
108,0.42243968725204467,0.41399120569229125,0.95609375,0.955
109,0.4272209131717682,0.3954963445663452,0.955,0.968125
110,0.423004429936409,0.3931471598148346,0.95375,0.964375
111,0.41737955033779145,0.3985483837127686,0.95875,0.960625
112,0.4118016844987869,0.3846270787715912,0.959375,0.9675
113,0.40812147080898287,0.3890650260448456,0.958125,0.961875
114,0.40706254184246066,0.38355596899986266,0.95703125,0.9675
115,0.3997432619333267,0.37718876600265505,0.96234375,0.96875
116,0.4088925933837891,0.38120828866958617,0.95171875,0.970625
117,0.39829725623130796,0.3699621033668518,0.9575,0.968125
118,0.3982049310207367,0.36958800196647645,0.95859375,0.96875
119,0.39014907002449034,0.3758431053161621,0.96,0.9625
120,0.3884879320859909,0.3821515393257141,0.95953125,0.9525
121,0.3908389592170715,0.3566805076599121,0.96015625,0.968125
122,0.38277840077877046,0.38798760890960693,0.96484375,0.945625
123,0.37727538764476776,0.3637451994419098,0.96578125,0.964375
124,0.37945715367794036,0.35138508439064026,0.95828125,0.970625
125,0.37213916003704073,0.3484029483795166,0.96328125,0.97125
126,0.3700732427835465,0.34539572715759276,0.96515625,0.96625
127,0.36702547371387484,0.38805177569389343,0.96375,0.94
128,0.3593021661043167,0.3591559326648712,0.96875,0.960625
129,0.3600869834423065,0.3415235948562622,0.96609375,0.970625
130,0.35632407665252686,0.3371990513801575,0.965625,0.969375
131,0.3585189116001129,0.331302410364151,0.9621875,0.97375
132,0.35051981210708616,0.3289642536640167,0.965625,0.97625
133,0.3561317992210388,0.3497439968585968,0.96296875,0.954375
134,0.34891774773597717,0.3263519012928009,0.96296875,0.975
135,0.3451987725496292,0.35081647634506224,0.9671875,0.955
136,0.34417883574962616,0.3640019178390503,0.965,0.95
137,0.33767043709754946,0.33712397813796996,0.96875,0.96375
138,0.3382498836517334,0.31075032234191896,0.96921875,0.975625
139,0.3382080239057541,0.3465326631069183,0.96640625,0.9525
140,0.33827862441539763,0.31286016225814817,0.9634375,0.978125
141,0.32756207555532457,0.30736619114875796,0.9696875,0.9775
142,0.3265644079446793,0.30100216150283815,0.97109375,0.97875
143,0.3198061370849609,0.3128460359573364,0.970625,0.971875
144,0.3221516865491867,0.33268518090248106,0.97078125,0.955
145,0.31531329870224,0.3020798122882843,0.9728125,0.974375
146,0.3216468733549118,0.2931120836734772,0.96703125,0.979375
147,0.3183265432715416,0.31238335371017456,0.9684375,0.96125
148,0.3151803904771805,0.2871512919664383,0.9678125,0.98
149,0.30690054774284364,0.29008641362190246,0.9721875,0.975
150,0.30929115384817124,0.3000191116333008,0.97234375,0.968125
151,0.30920406997203825,0.28413254737854005,0.97203125,0.9775
152,0.3028700315952301,0.2785178291797638,0.973125,0.98
153,0.30383084863424303,0.27206356048583985,0.9696875,0.981875
154,0.3012226203083992,0.2727458643913269,0.9715625,0.981875
155,0.2986173740029335,0.29883594751358034,0.9721875,0.963125
156,0.29042932361364365,0.2716463780403137,0.975625,0.97875
157,0.3011157152056694,0.27276394426822664,0.96828125,0.979375
158,0.2906410211324692,0.26806281089782713,0.9725,0.978125
159,0.28718424290418626,0.29970611453056334,0.97296875,0.95875
160,0.2855274561047554,0.26237942934036257,0.97375,0.983125
161,0.2820282155275345,0.2594285690784454,0.97640625,0.98125
162,0.28002154916524885,0.2571251904964447,0.9759375,0.98
163,0.2821624293923378,0.25331609904766084,0.97296875,0.983125
164,0.2816336664557457,0.2556627768278122,0.9725,0.9825
165,0.2812817800045013,0.3061679685115814,0.97296875,0.954375
166,0.27585371911525725,0.28991119384765623,0.97546875,0.959375
167,0.2714274322986603,0.26180181801319125,0.97421875,0.97625
168,0.2729591128230095,0.26556243538856505,0.97453125,0.974375
169,0.2670423009991646,0.2561996728181839,0.9771875,0.975625
170,0.26730018883943557,0.24799427449703215,0.9771875,0.975625
171,0.2691765296459198,0.24391521692276,0.9740625,0.979375
172,0.26645936489105226,0.24190583407878877,0.975,0.980625
173,0.2588038033246994,0.23529568672180176,0.9778125,0.983125
174,0.2531986194849014,0.24856797754764556,0.978125,0.975625
175,0.2582226279377937,0.24692660212516784,0.9759375,0.97625
176,0.25410610109567644,0.2875298857688904,0.9771875,0.955
177,0.2510939478874207,0.23521109521389008,0.9765625,0.983125
178,0.2539364013075829,0.23049528300762176,0.9753125,0.981875
179,0.25055028110742567,0.2278909945487976,0.97765625,0.980625
180,0.24613533437252044,0.22567843675613403,0.97703125,0.9825
181,0.24457789480686187,0.22264063119888305,0.9778125,0.985
182,0.2431600123643875,0.25251664757728576,0.97828125,0.964375
183,0.24630470037460328,0.23052092611789704,0.97640625,0.9775
184,0.2406902375817299,0.21750914812088012,0.98015625,0.980625
185,0.2391800993680954,0.21497777819633485,0.97703125,0.9825
186,0.23900372713804244,0.21495868802070617,0.9753125,0.98125
187,0.2363959100842476,0.21735467731952668,0.9775,0.9825
188,0.23511411398649215,0.2113411146402359,0.978125,0.983125
189,0.230946783721447,0.2087959611415863,0.97703125,0.983125
190,0.23254121392965316,0.20740022480487824,0.9771875,0.9825
191,0.23906799733638764,0.21168289721012115,0.974375,0.980625
192,0.22434879809617997,0.2051513147354126,0.9809375,0.984375
193,0.22554429978132248,0.20390101850032807,0.9809375,0.984375
194,0.2215242612361908,0.22090536057949067,0.98203125,0.975
195,0.2244115373492241,0.21340024948120118,0.97828125,0.9775
196,0.22088100045919418,0.2239776599407196,0.980625,0.97125
197,0.2183199268579483,0.19766629874706268,0.97953125,0.984375
198,0.2161647054553032,0.1957211822271347,0.980625,0.984375
199,0.2150382861495018,0.2033841735124588,0.97921875,0.983125
200,0.2109075093269348,0.19372038304805755,0.98125,0.983125
201,0.21209620893001557,0.1987584936618805,0.98,0.980625
202,0.21118737012147903,0.19347097873687744,0.98125,0.98625
203,0.21152942180633544,0.19209452271461486,0.98046875,0.985
204,0.2146200230717659,0.1997038108110428,0.97953125,0.981875
205,0.2118840202689171,0.18960932075977324,0.98046875,0.98625
206,0.21443531423807144,0.18746401250362396,0.98015625,0.985
207,0.2104962396621704,0.1893213325738907,0.980625,0.983125
208,0.20919593423604965,0.1952994054555893,0.97953125,0.98125
209,0.21518138587474822,0.19960277795791626,0.97796875,0.97875
210,0.2121255674958229,0.18503891170024872,0.98015625,0.984375
211,0.2056643545627594,0.18633063673973083,0.9825,0.984375
212,0.21091406375169755,0.1885331392288208,0.98015625,0.98375
213,0.2085994550585747,0.1901848268508911,0.97828125,0.980625
214,0.2052881246805191,0.18403602957725526,0.98109375,0.984375
215,0.20321123242378236,0.18553873360157014,0.983125,0.98625
216,0.2010018503665924,0.18413744866847992,0.98203125,0.986875
217,0.20617848187685012,0.18666024386882782,0.97921875,0.983125
218,0.20533432453870773,0.1938084226846695,0.98015625,0.980625
219,0.2050829955935478,0.1901477074623108,0.97796875,0.98125
220,0.2029647135734558,0.1849133425951004,0.98265625,0.981875
221,0.20130512923002242,0.17992048859596252,0.9784375,0.985625
222,0.19790779829025268,0.18167901754379273,0.98125,0.985625
223,0.19953952193260194,0.18744754731655122,0.98203125,0.980625
224,0.19809026807546615,0.18744741678237914,0.98109375,0.985
